,Border,Date,Measure,Value,Average
6767,US-Mexico Border,2019-06-01,Rail Containers Empty,49346,48898.0
6766,US-Canada Border,2019-06-01,Personal Vehicles,2832881,2143032.0
6765,US-Canada Border,2019-06-01,Rail Containers Full,153206,150959.0
6764,US-Mexico Border,2019-06-01,Train Passengers,851,868.0
6763,US-Canada Border,2019-06-01,Train Passengers,44094,21965.0
6762,US-Mexico Border,2019-06-01,Trains,964,961.0
6761,US-Canada Border,2019-06-01,Trains,2162,1954.0
6760,US-Mexico Border,2019-06-01,Pedestrians,3931845,3995602.0
6759,US-Canada Border,2019-06-01,Pedestrians,66714,35803.0
6758,US-Mexico Border,2019-06-01,Personal Vehicle Passengers,11590003,11093587.0
6757,US-Canada Border,2019-06-01,Personal Vehicle Passengers,5407844,3984009.0
6756,US-Mexico Border,2019-06-01,Truck Containers Empty,139565,143804.0
6755,US-Canada Border,2019-06-01,Rail Containers Empty,62544,58865.0
6754,US-Canada Border,2019-06-01,Truck Containers Empty,129434,126615.0
6753,US-Mexico Border,2019-06-01,Truck Containers Full,399640,404318.0
6752,US-Canada Border,2019-06-01,Truck Containers Full,366753,362380.0
6751,US-Mexico Border,2019-06-01,Trucks,533555,541915.0
6750,US-Canada Border,2019-06-01,Trucks,485867,478326.0
6749,US-Mexico Border,2019-06-01,Bus Passengers,176567,169492.0
6748,US-Canada Border,2019-06-01,Bus Passengers,202261,135589.0
6747,US-Mexico Border,2019-06-01,Buses,12979,12585.0
6746,US-Canada Border,2019-06-01,Buses,8975,6078.0
6745,US-Mexico Border,2019-06-01,Rail Containers Full,45091,42811.0
6744,US-Mexico Border,2019-06-01,Personal Vehicles,6124800,5986401.0
6743,US-Canada Border,2019-05-01,Rail Containers Full,159963,151450.0
6742,US-Canada Border,2019-05-01,Personal Vehicles,2301064,1905611.0
6741,US-Mexico Border,2019-05-01,Train Passengers,958,867.0
6740,US-Mexico Border,2019-05-01,Rail Containers Empty,52634,49111.0
6739,US-Canada Border,2019-05-01,Truck Containers Empty,133736,125536.0
6738,US-Mexico Border,2019-05-01,Rail Containers Full,44885,40281.0
6737,US-Mexico Border,2019-05-01,Buses,12562,12617.0
6736,US-Canada Border,2019-05-01,Train Passengers,30038,15727.0
6735,US-Mexico Border,2019-05-01,Pedestrians,4144485,3988118.0
6734,US-Canada Border,2019-05-01,Personal Vehicle Passengers,4209007,3488236.0
6733,US-Canada Border,2019-05-01,Buses,8174,5063.0
6732,US-Mexico Border,2019-05-01,Truck Containers Full,435491,403489.0
6731,US-Canada Border,2019-05-01,Bus Passengers,190178,109959.0
6730,US-Mexico Border,2019-05-01,Trains,987,967.0
6729,US-Mexico Border,2019-05-01,Truck Containers Empty,147259,147047.0
6728,US-Mexico Border,2019-05-01,Personal Vehicles,6087007,6021796.0
6727,US-Canada Border,2019-05-01,Truck Containers Full,385497,359915.0
6726,US-Canada Border,2019-05-01,Trucks,507425,474706.0
6725,US-Canada Border,2019-05-01,Rail Containers Empty,61553,57929.0
6724,US-Mexico Border,2019-05-01,Trucks,576724,544184.0
6723,US-Mexico Border,2019-05-01,Bus Passengers,172481,173352.0
6722,US-Canada Border,2019-05-01,Trains,2090,1929.0
6721,US-Mexico Border,2019-05-01,Personal Vehicle Passengers,11161555,11147700.0
6720,US-Canada Border,2019-05-01,Pedestrians,50586,25342.0
6719,US-Mexico Border,2019-04-01,Personal Vehicle Passengers,10553135,11393118.0
6718,US-Canada Border,2019-04-01,Pedestrians,31204,19366.0
6717,US-Canada Border,2019-04-01,Trucks,480477,455328.0
6716,US-Mexico Border,2019-04-01,Trucks,524215,522719.0
6715,US-Mexico Border,2019-04-01,Buses,12822,12930.0
6714,US-Canada Border,2019-04-01,Truck Containers Empty,122028,126065.0
6713,US-Canada Border,2019-04-01,Personal Vehicle Passengers,3760645,3422045.0
6712,US-Canada Border,2019-04-01,Train Passengers,13103,12287.0
6711,US-Canada Border,2019-04-01,Trains,1968,1910.0
6710,US-Mexico Border,2019-04-01,Bus Passengers,195416,171513.0
6709,US-Mexico Border,2019-04-01,Truck Containers Full,396298,380709.0
6708,US-Canada Border,2019-04-01,Bus Passengers,120438,89982.0
6707,US-Canada Border,2019-04-01,Truck Containers Full,369321,338299.0
6706,US-Mexico Border,2019-04-01,Personal Vehicles,5686170,6069914.0
6705,US-Mexico Border,2019-04-01,Trains,934,964.0
6704,US-Mexico Border,2019-04-01,Pedestrians,4256803,4023104.0
6703,US-Mexico Border,2019-04-01,Rail Containers Full,42180,39459.0
6702,US-Mexico Border,2019-04-01,Truck Containers Empty,134214,147152.0
6701,US-Mexico Border,2019-04-01,Train Passengers,857,850.0
6700,US-Canada Border,2019-04-01,Rail Containers Full,157840,154361.0
6699,US-Canada Border,2019-04-01,Rail Containers Empty,60767,57277.0
6698,US-Canada Border,2019-04-01,Personal Vehicles,2053135,1846407.0
6697,US-Mexico Border,2019-04-01,Rail Containers Empty,50897,49061.0
6696,US-Canada Border,2019-04-01,Buses,5050,4245.0
6695,US-Mexico Border,2019-03-01,Bus Passengers,177326,162614.0
6694,US-Canada Border,2019-03-01,Rail Containers Empty,64969,56946.0
6693,US-Canada Border,2019-03-01,Personal Vehicle Passengers,3765337,3374557.0
6692,US-Canada Border,2019-03-01,Buses,4419,4190.0
6691,US-Mexico Border,2019-03-01,Truck Containers Empty,155368,150503.0
